disease_1,disease_2,edge_weight
DOID:0050641,DOID:0111102,0.044444457
DOID:0050641,DOID:13809,1.8486344e-06
DOID:0050641,DOID:14557,0.008695655
DOID:0050641,DOID:0111103,0.021052636
DOID:0050641,DOID:1339,0.0043478273
DOID:0050641,DOID:0111089,0.044462305
DOID:0050641,DOID:0111104,0.010000003
DOID:0050641,DOID:0111105,0.012903228000000001
DOID:0050641,DOID:2841,0.005263159
DOID:0050641,DOID:4769,0.008333336
DOID:0050641,DOID:0110757,0.022222227999999997
DOID:0050641,DOID:0060334,0.020000005
DOID:0050641,DOID:8997,0.013333336999999999
DOID:4769,DOID:1837,0.012500003
DOID:4769,DOID:0110741,0.009090912
DOID:4769,DOID:0111100,0.022222227999999997
DOID:4769,DOID:6713,0.022222227999999997
DOID:4769,DOID:0110918,0.010000003
DOID:4769,DOID:1171,0.025000006
DOID:4769,DOID:0111102,0.0064516140000000005
DOID:4769,DOID:0090016,0.008695655
DOID:4769,DOID:0111103,0.0043478273
DOID:4769,DOID:0111089,0.010000003
DOID:4769,DOID:2841,0.011111113999999998
DOID:4769,DOID:0050641,0.008333336
DOID:4769,DOID:4769,0.022222227999999997
DOID:4769,DOID:0110757,0.01538462
DOID:0060474,DOID:9351,0.027586213999999998
DOID:0060474,DOID:5453,0.010526318
DOID:0060474,DOID:0111099,0.0044444455
DOID:0060474,DOID:6713,0.059259273
DOID:0060474,DOID:0110918,0.008000001
DOID:0060474,DOID:0110919,0.0066666686999999995
DOID:0060474,DOID:13809,0.00769231
DOID:0060474,DOID:0090016,0.0075471719999999996
DOID:0060474,DOID:0111103,0.012500003
DOID:0060474,DOID:1339,0.007407409
DOID:0060474,DOID:0090105,0.005263159
DOID:0060474,DOID:0111089,0.0044444455
DOID:0060474,DOID:0111105,0.0064516140000000005
DOID:0060474,DOID:2841,0.012500003
DOID:0060474,DOID:0050641,0.030000008999999998
DOID:0060474,DOID:4769,0.011764709
DOID:0060474,DOID:0110757,0.009090912
DOID:0060334,DOID:0110916,0.00769231
DOID:0060334,DOID:1837,0.01538462
DOID:0060334,DOID:5453,0.03076924
DOID:0060334,DOID:0111100,0.004761906
DOID:0060334,DOID:0111099,0.008333336
DOID:0060334,DOID:6713,0.016666671
DOID:0060334,DOID:0111101,0.009090912
DOID:0060334,DOID:0110918,0.41714287
DOID:0060334,DOID:0111102,0.0074213548
DOID:0060334,DOID:13809,0.0040000007
DOID:0060334,DOID:0111089,7.359492599999999e-08
DOID:0060334,DOID:0111104,0.0071428590000000005
DOID:0060334,DOID:2841,0.011764709
DOID:0060334,DOID:4769,0.010526318
DOID:8997,DOID:9351,0.010526318
DOID:8997,DOID:0110741,0.010526318
DOID:8997,DOID:5453,0.004166668
DOID:8997,DOID:0111100,0.04000001
DOID:8997,DOID:0111099,0.011111113999999998
DOID:8997,DOID:6713,0.0071428590000000005
DOID:8997,DOID:0111101,0.0048780496999999996
DOID:8997,DOID:1338,0.0060606077
DOID:8997,DOID:0111102,0.0068965536
DOID:8997,DOID:0110919,0.0071428590000000005
DOID:8997,DOID:0111103,0.0048780496999999996
DOID:8997,DOID:1339,0.004166668
DOID:8997,DOID:0111089,0.0058823545
DOID:8997,DOID:0111105,0.01739131
DOID:14221,DOID:9351,0.033333343
DOID:14221,DOID:0110741,0.023529418
DOID:14221,DOID:5453,0.04000001
DOID:14221,DOID:0111099,0.0071428590000000005
DOID:14221,DOID:0110918,0.020000005
DOID:14221,DOID:1338,0.009302326999999999
DOID:14221,DOID:1339,0.019047624
DOID:14221,DOID:0111089,0.020000005
DOID:0111091,DOID:9351,0.005263159
DOID:0111091,DOID:5453,0.011111113999999998
DOID:0111091,DOID:0111101,0.008695655
DOID:0111091,DOID:0110918,0.010526318
DOID:0111091,DOID:1171,0.008695655
DOID:0111091,DOID:0111102,0.022222227999999997
DOID:0111091,DOID:0110919,0.020000005
DOID:0111091,DOID:13809,0.0064516140000000005
DOID:0111091,DOID:0090016,0.015789477
DOID:0111091,DOID:0111103,0.008333336
DOID:0111091,DOID:1339,0.022222227999999997
DOID:0111091,DOID:0111089,0.020000005
DOID:0111091,DOID:0111104,0.04000001
DOID:0111106,DOID:9351,0.011764709
DOID:0111106,DOID:1837,0.08000002
DOID:0111106,DOID:5453,0.0071428590000000005
DOID:0111106,DOID:6713,0.010000003
DOID:0111106,DOID:0110918,0.0046511637
DOID:0111106,DOID:14557,0.009523812
DOID:0111106,DOID:1339,0.020000005
DOID:0060638,DOID:0110916,0.0043478273
DOID:0060638,DOID:1837,0.013636367
DOID:0060638,DOID:0110741,0.014035091000000001
DOID:0060638,DOID:0111099,0.0040816334000000004
DOID:0060638,DOID:6713,0.008888891
DOID:0060638,DOID:0111101,0.011111113999999998
DOID:0060638,DOID:1171,0.005714286999999999
DOID:0060638,DOID:1338,0.008695655
DOID:0060638,DOID:0111102,0.010526318
DOID:0060638,DOID:0110919,0.0031250007
DOID:0060638,DOID:0090016,0.0040000007
DOID:0060638,DOID:14557,0.005714286999999999
DOID:0060638,DOID:1339,0.005555556999999999
DOID:0060638,DOID:0090105,0.014634148999999999
DOID:0060652,DOID:0110916,0.012500003
DOID:0060652,DOID:9351,0.00769231
DOID:0060652,DOID:1837,0.005128206
DOID:0060652,DOID:5453,0.013333336999999999
DOID:0060652,DOID:0111100,0.012903228000000001
DOID:0060652,DOID:0111099,0.007407409
DOID:0060652,DOID:6713,0.011111113999999998
DOID:0060652,DOID:13809,0.012500003
DOID:0060652,DOID:14557,0.028571436000000002
DOID:0111107,DOID:9351,0.007407409
DOID:0111107,DOID:5453,0.010526318
DOID:0111107,DOID:0111099,0.004761906
DOID:0111107,DOID:0110919,0.010000003
DOID:0111107,DOID:0090016,0.022222227999999997
DOID:0111077,DOID:0110916,0.005405406999999999
